Id,Altitude,Slope_Orientation,Slope,Horizontal_Distance_To_Water,Vertical_Distance_To_Water,Horizontal_Distance_To_Roadways,Shadow_Index_9h,Shadow_Index_12h,Shadow_Index_15h,Horizontal_Distance_To_Fire_Points,Canopy_Density,Rainfall_Summer,Rainfall_Winter,Wind_Exposure_Level,Soil_Type,Wilderness_Area,Vegetation_Type
12626,2252,115,26,218,112,1350,254,205,61,750,44.42,212.18,881.4,10.67,Type_3,Area_4,Type_4
3428,2304,117,41,277,193,918,251,169,3,371,67.48,281.3,449.3,38.11,Type_3,Area_4,Type_4
12492,2112,136,31,60,12,825,250,210,63,162,42.43,401.32,607.04,42.91,Type_3,Area_4,Type_4
12599,2223,75,27,201,93,1249,241,178,50,642,63.13,180.85,975.3,50.41,Type_10,Area_4,Type_4
3843,2160,105,27,67,35,1168,253,195,51,531,58.54,344.9,719.32,31.01,Type_10,Area_4,Type_4
12786,2183,121,31,0,0,1316,254,198,47,977,77.94,207.63,301.09,39.83,Type_3,Area_4,Type_4
4553,2180,133,17,0,0,1146,245,230,108,1146,39.23,349.27,854.47,46.64,Type_3,Area_4,Type_4
12568,2110,99,3,0,0,997,224,235,146,335,33.57,237.33,663.26,60.28,Type_4,Area_4,Type_4
3292,2329,157,23,295,35,977,238,236,114,540,82.64,440.15,522.85,14.46,Type_3,Area_4,Type_4
3830,2126,333,4,30,-6,1307,210,234,163,1332,43.27,300.16,898.17,18.28,Type_17,Area_4,Type_4
5022,2345,109,30,283,124,558,254,192,43,1744,56.12,202.15,859.79,54.01,Type_3,Area_4,Type_4
13437,2316,152,10,0,0,564,233,240,138,671,50.1,317.41,1199.97,58.1,Type_17,Area_4,Type_4
5132,2239,36,17,0,0,1507,217,200,113,947,60.88,264.48,910.13,17.84,Type_17,Area_4,Type_4
3441,2217,68,18,30,-11,930,236,200,89,967,50.51,384.06,741.26,22.8,Type_5,Area_4,Type_4
4183,2289,157,16,297,109,1165,236,241,130,1173,70.93,449.14,432.27,41.51,Type_3,Area_4,Type_4
4481,2390,86,16,408,193,824,241,212,97,1549,39.69,211.34,671.93,42.69,Type_6,Area_4,Type_4
5665,2312,126,14,108,37,270,243,229,112,1549,67.1,356.67,1047.64,51.92,Type_2,Area_4,Type_4
12178,2038,110,11,0,0,685,239,228,118,690,66.33,359.99,842.29,32.53,Type_1,Area_4,Type_4
4880,2346,80,21,330,149,633,242,198,76,1687,79.44,201.68,146.74,7.9,Type_3,Area_4,Type_4
4928,2240,61,2,0,0,1602,221,234,149,808,43.62,208.71,582.86,33.78,Type_17,Area_4,Type_4
