Id,Altitude,Slope_Orientation,Slope,Horizontal_Distance_To_Water,Vertical_Distance_To_Water,Horizontal_Distance_To_Roadways,Shadow_Index_9h,Shadow_Index_12h,Shadow_Index_15h,Horizontal_Distance_To_Fire_Points,Canopy_Density,Rainfall_Summer,Rainfall_Winter,Wind_Exposure_Level,Soil_Type,Wilderness_Area,Vegetation_Type
41,2699,347,3,0,0,2096,213,234,159,6853,37.32,282.46,125.22,6.23,Type_20,Area_1,Type_1
52,2739,323,25,85,43,3118,149,205,192,6219,76.51,182.57,532.19,30.65,Type_29,Area_1,Type_1
53,2696,72,2,30,0,3271,222,234,149,6071,86.37,374.79,275.52,59.96,Type_30,Area_1,Type_1
56,2722,315,24,30,19,3216,148,212,200,6132,85.31,364.3,1182.48,22.21,Type_16,Area_1,Type_1
68,2919,13,13,90,6,5321,207,214,142,4060,78.13,303.26,1198.69,14.22,Type_29,Area_1,Type_1
79,2808,99,7,382,95,3107,233,230,130,6341,51.51,210.66,608.48,43.04,Type_12,Area_1,Type_1
81,2795,79,10,531,96,2980,233,223,121,6497,81.79,341.07,878.84,62.66,Type_20,Area_1,Type_1
83,2847,352,26,150,82,3697,166,187,152,5796,49.85,280.22,822.57,14.1,Type_29,Area_1,Type_1
84,2840,14,14,216,88,3552,206,210,140,5944,33.81,207.59,97.89,63.15,Type_12,Area_1,Type_1
86,2860,358,17,175,98,3705,191,206,151,5800,49.51,270.36,1095.41,64.07,Type_29,Area_1,Type_1
96,2860,31,10,295,98,3644,218,218,135,5904,59.63,311.83,435.5,57.42,Type_12,Area_1,Type_1
104,2863,102,15,190,71,4389,244,219,100,5184,60.51,437.76,1114.84,8.46,Type_29,Area_1,Type_1
109,2863,348,14,309,89,3918,193,216,161,5695,43.73,398.98,678.29,59.31,Type_29,Area_1,Type_1
111,3182,105,11,408,33,6000,240,226,115,1184,47.39,206.05,339.19,60.18,Type_29,Area_1,Type_1
112,2818,324,12,242,26,4156,189,227,177,5467,39.67,335.9,821.32,59.67,Type_16,Area_1,Type_1
116,3195,111,15,469,46,5941,245,222,101,1206,82.29,287.34,1190.77,60.54,Type_29,Area_1,Type_1
118,2850,58,6,295,58,4394,225,227,137,5239,41.19,323.3,208.32,36.99,Type_29,Area_1,Type_1
120,2837,17,13,330,45,4241,208,211,138,5428,62.36,155.2,325.54,57.75,Type_29,Area_1,Type_1
133,2991,49,13,85,0,6199,225,211,117,3613,37.19,209.01,1052.98,61.83,Type_24,Area_1,Type_1
137,2942,346,12,30,3,5918,197,221,162,3900,61.13,384.9,327.34,46.55,Type_24,Area_1,Type_1
138,2886,12,7,570,94,4295,213,226,150,5518,72.18,204.23,966.34,7.35,Type_29,Area_1,Type_1
141,3106,228,18,658,108,5984,191,254,196,1655,87.75,350.69,222.44,61.5,Type_29,Area_1,Type_1
147,2962,88,16,190,23,6095,242,212,95,3811,66.57,204.78,332.84,50.05,Type_24,Area_1,Type_1
151,3168,95,6,30,0,4884,229,231,136,1239,84.5,150.17,830.76,52.34,Type_29,Area_1,Type_1
152,2926,289,24,210,99,5126,145,228,220,4814,44.37,332.5,1085.81,39.94,Type_24,Area_1,Type_1
157,2916,349,10,488,36,4472,202,223,160,5502,70.33,272.13,1017.81,54.76,Type_29,Area_1,Type_1
161,3027,173,11,335,42,5678,227,245,149,1900,52.07,430.84,1122.15,53.81,Type_29,Area_1,Type_1
162,3096,160,15,85,16,6156,234,242,135,2310,67.94,404.41,827.32,21.59,Type_29,Area_1,Type_1
165,3185,328,16,127,13,4763,178,219,180,1392,35.42,310.93,1042.32,7.53,Type_29,Area_1,Type_1
166,3021,221,10,324,39,5675,208,250,177,1937,80.12,372.63,184.03,29.96,Type_29,Area_1,Type_1
170,3034,189,14,384,66,5754,220,250,160,2012,65.45,449.37,730.06,11.7,Type_29,Area_1,Type_1
172,3182,49,13,319,7,4767,225,211,118,1513,31.0,399.9,320.45,54.62,Type_29,Area_1,Type_1
175,3175,15,7,366,92,4816,214,226,149,1584,68.71,247.75,148.61,53.87,Type_29,Area_1,Type_1
176,2952,8,7,488,125,4953,212,227,152,5192,40.46,385.68,237.83,12.84,Type_20,Area_1,Type_1
180,3182,45,3,458,109,4723,220,232,149,1661,38.25,267.64,888.85,33.59,Type_29,Area_1,Type_1
183,3047,28,11,600,13,6414,216,215,134,3540,85.48,218.5,209.09,42.18,Type_29,Area_1,Type_1
185,3221,292,3,424,49,4401,212,238,165,1710,45.48,346.15,1002.73,8.45,Type_29,Area_1,Type_1
186,3182,115,10,553,10,4605,237,231,124,1768,69.6,172.83,736.07,8.6,Type_29,Area_1,Type_1
187,3064,29,24,150,46,5051,204,182,104,2148,79.03,331.08,1158.93,38.28,Type_29,Area_1,Type_1
